capcode,regio,discipline,plaats,omschrijving
000100081,Amsterdam-Amstelland,Brandweer,Amsterdam-Amstelland,
000100082,Amsterdam-Amstelland,Brandweer,Amsterdam-Amstelland,
000100083,Amsterdam-Amstelland,Brandweer,Amsterdam-Amstelland,
000100084,Amsterdam-Amstelland,Brandweer,Amsterdam-Amstelland,
000100085,Amsterdam-Amstelland,Brandweer,Amsterdam-Amstelland,
000100086,Amsterdam-Amstelland,Brandweer,Amsterdam-Amstelland,
000100087,Amsterdam-Amstelland,Brandweer,Amsterdam-Amstelland,
000100088,Amsterdam-Amstelland,Brandweer,Amsterdam-Amstelland,
000100089,Amsterdam-Amstelland,Brandweer,Amsterdam-Amstelland,
000100090,Amsterdam-Amstelland,Brandweer,Amsterdam-Amstelland,
000100091,Amsterdam-Amstelland,Brandweer,Amsterdam-Amstelland,Aalsmeer
000100092,Amsterdam-Amstelland,Brandweer,Amsterdam-Amstelland,
000100093,Amsterdam-Amstelland,Brandweer,Amsterdam-Amstelland,
000100094,Amsterdam-Amstelland,Brandweer,Amsterdam-Amstelland,
000100095,Amsterdam-Amstelland,Brandweer,Amsterdam-Amstelland,
000100096,Amsterdam-Amstelland,Brandweer,Amsterdam-Amstelland,
000100097,Amsterdam-Amstelland,Brandweer,Amsterdam-Amstelland,
000100098,Amsterdam-Amstelland,Brandweer,Amsterdam-Amstelland,
000100099,Amsterdam-Amstelland,Brandweer,Amsterdam-Amstelland,
000100100,Amsterdam-Amstelland,Brandweer,Amstelveen,Blusgroep 1
000100101,Amsterdam-Amstelland,Brandweer,Amsterdam-Amstelland,
000100102,Amsterdam-Amstelland,Brandweer,Amstelveen,Blusgroep 2
000100103,Amsterdam-Amstelland,Brandweer,Amsterdam-Amstelland,
000100104,Amsterdam-Amstelland,Brandweer,,OvD Zuid - spoed
000100105,Amsterdam-Amstelland,Brandweer,,OvD Zuid
000100106,Amsterdam-Amstelland,Brandweer,Amstelveen,Bevelvoerder van Dienst
000100107,Amsterdam-Amstelland,Brandweer,Amsterdam-Amstelland,
000100108,Amsterdam-Amstelland,Brandweer,Amstelveen,Blusgroep 3
000100109,Amsterdam-Amstelland,Brandweer,Amsterdam-Amstelland,Amstelveen
000100110,Amsterdam-Amstelland,Brandweer,Amsterdam-Amstelland,Amstelveen
